t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
-0.0446,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,40.412,40.412,0.0,0.0,-0.0,33.0
0.0085,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,40.412,-95.0,0.0,0.0,-0.0,33.0
0.0616,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,40.412,-95.0,0.0,0.0,-0.0,33.0
0.1146,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,40.206,-95.0,0.0,0.0,-1.635,33.0
0.1675,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,39.588,-95.0,0.0,0.0,-7.774,33.0
0.2206,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,39.381,-95.0,0.0,0.0,-5.426,33.0
0.2727,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,39.381,-95.0,0.0,0.0,-3.798,33.0
0.3261,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,39.175,-95.0,0.0,0.0,-3.34,33.0
0.3796,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,38.763,-95.0,4.0,0.0,-4.444,33.0
0.4332,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,38.557,-95.0,4.0,0.0,-4.462,33.0
0.4865,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,38.351,-95.0,4.0,0.0,-3.829,33.0
0.5393,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,37.938,-95.0,4.0,0.0,-5.846,33.0
0.5917,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,37.732,-95.0,4.0,0.0,-5.189,33.0
0.6446,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,37.526,-95.0,4.0,0.0,-4.167,33.0
0.6967,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,37.113,-95.0,4.0,0.0,-5.93,33.0
0.75,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,36.907,-95.0,4.0,0.0,-5.19,33.0
0.8037,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,36.701,-95.0,4.0,0.0,-4.15,33.0
0.8569,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,36.289,-95.0,4.0,0.0,-5.927,33.0
0.9105,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,36.289,-95.0,8.0,0.0,-4.149,33.0
0.9635,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,36.082,-95.0,8.0,0.0,-2.795,33.0
1.0157,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,35.464,-95.0,8.0,0.0,-6.839,33.0
1.0678,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,35.258,-95.0,8.0,0.0,-5.649,33.0
1.121,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,35.052,-95.0,8.0,0.0,-5.097,33.0
1.1742,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,34.845,-95.0,8.0,0.0,-4.103,33.0
1.2273,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,34.639,-95.0,8.0,0.0,-3.6,33.0
1.2797,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,34.227,-95.0,8.0,0.0,-5.688,33.0
1.3329,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,34.021,-95.0,8.0,0.0,-4.419,33.0
1.3848,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,33.814,-95.0,8.0,0.0,-5.406,33.0
1.4378,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,33.608,-95.0,8.0,0.0,-4.933,33.0
1.4911,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,33.402,-95.0,8.0,0.0,-5.564,33.0
1.5443,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,33.196,-95.0,8.0,0.0,-3.488,33.0
1.5972,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,32.784,-95.0,8.0,0.0,-5.65,33.0
1.6505,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,32.577,-95.0,8.0,0.0,-4.385,33.0
1.7028,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,32.165,-95.0,8.0,0.0,-6.099,33.0
1.7548,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,31.959,-95.0,8.0,0.0,-5.302,33.0
1.8094,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,31.753,-95.0,8.0,0.0,-4.196,33.0
1.8621,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,31.34,-95.0,8.0,0.0,-5.967,33.0
1.915,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,31.134,-95.0,8.0,0.0,-5.176,33.0
1.9683,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,30.928,-95.0,8.0,0.0,-4.868,33.0
2.0207,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,30.722,-95.0,8.0,0.0,-3.997,33.0
2.074,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,30.515,-95.0,16.0,0.0,-3.83,33.0
2.1274,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,30.103,-95.0,16.0,0.0,-5.756,33.0
2.1798,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,29.897,-95.0,16.0,0.0,-4.44,33.0
2.2328,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,29.691,-95.0,16.0,0.0,-3.807,33.0
2.2847,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,29.278,-95.0,16.0,0.0,-5.791,33.0
2.3378,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,29.072,-95.0,16.0,0.0,-5.135,33.0
2.3911,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,28.866,-95.0,16.0,0.0,-5.888,33.0
2.4446,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,28.66,-95.0,16.0,0.0,-5.187,33.0
2.498,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,28.247,-95.0,16.0,0.0,-7.179,33.0
2.5511,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,28.247,-95.0,16.0,0.0,-3.518,33.0
2.6044,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,-8.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,27.835,-95.0,16.0,0.0,-4.679,33.0
2.6574,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,27.629,-95.0,16.0,0.0,-4.318,33.0
2.7106,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,27.423,-95.0,16.0,0.0,-3.741,33.0
2.7636,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,27.01,-95.0,16.0,0.0,-5.088,33.0
2.8175,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,26.804,-95.0,16.0,0.0,-4.117,33.0
2.8699,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,26.598,-95.0,16.0,0.0,-3.616,33.0
2.9231,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,26.186,-95.0,16.0,0.0,-5.013,33.0
2.9766,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,25.979,-95.0,16.0,0.0,-4.76,33.0
3.0297,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,25.773,-95.0,16.0,0.0,-3.929,33.0
3.083,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,25.361,-95.0,16.0,0.0,-5.86,33.0
3.1362,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,25.155,-95.0,16.0,0.0,-5.156,33.0
3.1887,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,24.948,-95.0,16.0,0.0,-5.89,33.0
3.2421,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,24.742,-95.0,16.0,0.0,-3.645,33.0
3.2949,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,24.536,-95.0,16.0,0.0,-4.868,33.0
3.3483,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,24.124,-95.0,16.0,0.0,-5.305,33.0
3.4017,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,23.711,-95.0,16.0,0.0,-7.136,33.0
3.4551,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,0.0,35.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,31.22,31.22,0.0,0.0,-0.0,32.0,23.711,-95.0,16.0,0.0,-3.497,33.0
